ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,0,0,77,0,-77
1,1,0,101,0,-101
2,1,0,8,0,-8
3,0,0,44,0,-44
4,1,0,48,0,-48
5,0,0,66,0,-66
6,1,1,218,1226,1008
7,1,0,251,0,-251
8,0,0,12,0,-12
9,1,0,23,0,-23
10,1,0,79,0,-79
11,1,0,6,0,-6
12,0,0,4,0,-4
13,0,0,19,0,-19
14,0,0,23,0,-23
15,1,0,12,0,-12
16,0,0,7,0,-7
17,0,0,72,0,-72
18,1,0,28,0,-28
19,0,0,13,0,-13
20,1,0,129,0,-129
21,0,0,13,0,-13
22,1,1,594,1801,1207
23,1,1,1271,1589,318
24,0,0,18,0,-18
25,0,0,20,0,-20
26,1,1,2494,1440,-1054
27,0,0,47,0,-47
28,0,0,87,0,-87
29,0,0,75,0,-75
30,0,0,41,0,-41
31,1,0,84,0,-84
32,1,0,12,0,-12
33,0,0,310,0,-310
34,1,1,394,1698,1304
35,1,1,402,1722,1320
36,0,0,40,0,-40
37,1,0,128,0,-128
38,1,1,199,1231,1032
39,1,0,12,0,-12
40,1,1,2528,1442,-1086
41,1,1,646,1203,557
42,1,1,11,1634,1623
43,1,0,67,0,-67
44,0,0,76,0,-76
45,0,0,0,0,0
46,0,0,92,0,-92
47,0,0,69,0,-69
48,1,1,958,1238,280
49,1,0,0,0,0
50,1,0,82,0,-82
51,1,0,46,0,-46
52,1,1,1162,1494,332
53,1,0,3,0,-3
54,1,1,779,1761,982
55,1,1,174,1278,1104
56,1,1,255,1381,1126
57,0,0,15,0,-15
58,1,0,57,0,-57
59,1,0,4,0,-4
60,0,0,13,0,-13
61,1,1,497,1540,1043
62,0,0,99,0,-99
63,1,1,144,1267,1123
64,0,0,2,0,-2
65,1,0,6,0,-6
66,0,0,78,0,-78
67,1,1,349,1242,893
68,0,0,16,0,-16
69,0,0,43,0,-43
70,0,0,26,0,-26
71,0,0,3,0,-3
72,1,0,33,0,-33
73,1,1,56,1338,1282
74,1,0,62,0,-62
75,1,0,41,0,-41
76,0,0,36,0,-36
77,0,0,121,0,-121
78,0,0,127,0,-127
79,1,1,256,1346,1090
80,1,0,193,0,-193
81,0,0,34,0,-34
82,1,0,26,0,-26
83,1,0,32,0,-32
84,1,0,40,0,-40
85,1,1,269,3278,3009
86,0,0,20,0,-20
87,1,1,296,1204,908
88,1,0,5,0,-5
89,0,0,47,0,-47
90,1,1,738,1916,1178
91,1,1,124,1529,1405
92,0,0,26,0,-26
93,0,0,37,0,-37
94,1,1,154,2229,2075
95,1,1,373,1739,1366
96,0,0,30,0,-30
97,1,1,89,2266,2177
98,1,1,1538,2107,569
99,1,1,843,1429,586
100,0,0,39,0,-39
101,1,1,267,1414,1147
102,0,0,59,0,-59
103,1,1,926,1238,312
104,1,1,719,1269,550
105,1,1,354,1488,1134
106,1,0,81,0,-81
107,0,0,28,0,-28
108,0,0,102,0,-102
109,0,0,37,0,-37
110,1,1,916,1410,494
111,1,1,339,2945,2606
112,0,0,107,0,-107
113,1,0,21,0,-21
114,1,1,891,1519,628
115,1,1,141,1570,1429
116,0,0,27,0,-27
117,1,0,139,0,-139
118,1,0,23,0,-23
119,0,0,98,0,-98
120,1,1,755,1779,1024
121,1,0,32,0,-32
122,1,0,60,0,-60
123,0,0,4,0,-4
124,0,0,45,0,-45
125,1,1,117,1665,1548
126,1,1,29,1959,1930
127,1,0,21,0,-21
128,1,0,104,0,-104
129,1,0,77,0,-77
130,1,0,58,0,-58
131,1,1,1224,2008,784
132,1,1,786,1258,472
133,1,0,3,0,-3
134,1,1,720,1221,501
135,1,1,101,1579,1478
136,1,0,6,0,-6
137,0,0,11,0,-11
138,1,1,253,1495,1242
139,0,0,4,0,-4
