ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,0,91,0,-91
1,1,0,65,0,-65
2,1,1,367,1449,1082
3,1,0,52,0,-52
4,1,1,357,1247,890
5,1,1,615,1536,921
6,1,1,1041,1466,425
7,1,0,52,0,-52
8,1,1,475,1942,1467
9,0,0,4,0,-4
10,0,0,61,0,-61
11,0,0,9,0,-9
12,1,1,898,1316,418
13,0,0,40,0,-40
14,0,0,4,0,-4
15,1,0,24,0,-24
16,1,0,78,0,-78
17,0,0,9,0,-9
18,0,0,9,0,-9
19,1,1,614,1388,774
20,1,1,204,1564,1360
21,0,0,85,0,-85
22,1,0,40,0,-40
23,1,0,0,0,0
24,1,1,554,1756,1202
25,1,0,168,0,-168
26,0,0,65,0,-65
27,0,0,28,0,-28
28,1,0,69,0,-69
29,0,0,23,0,-23
30,1,0,21,0,-21
31,1,1,157,1205,1048
32,1,0,9,0,-9
33,1,0,28,0,-28
34,1,0,36,0,-36
35,1,1,760,1259,499
36,0,0,5,0,-5
37,1,1,1069,1407,338
38,1,0,27,0,-27
39,0,0,43,0,-43
40,0,0,3,0,-3
41,0,0,52,0,-52
42,1,1,837,2482,1645
43,0,0,10,0,-10
44,0,0,54,0,-54
45,1,1,543,1349,806
46,1,0,25,0,-25
47,1,1,461,1301,840
48,1,0,97,0,-97
49,1,1,543,2032,1489
50,0,0,13,0,-13
51,1,1,236,1482,1246
52,1,0,143,0,-143
53,1,1,668,1498,830
54,1,1,52,1323,1271
55,0,0,0,0,0
56,1,1,450,3805,3355
57,0,0,8,0,-8
58,1,0,42,0,-42
59,1,1,2247,1839,-408
60,1,0,109,0,-109
61,1,1,554,1200,646
62,0,0,8,0,-8
63,0,0,23,0,-23
64,1,1,343,1534,1191
65,0,0,3,0,-3
66,0,0,77,0,-77
67,0,0,5,0,-5
68,1,1,406,1874,1468
69,1,1,1305,1274,-31
70,1,0,4,0,-4
71,1,0,17,0,-17
72,0,0,39,0,-39
73,1,0,180,0,-180
74,0,0,12,0,-12
75,1,0,237,0,-237
76,0,0,67,0,-67
77,0,0,15,0,-15
78,0,0,3,0,-3
79,0,0,92,0,-92
80,1,0,187,0,-187
81,0,0,8,0,-8
82,0,0,37,0,-37
83,1,1,721,1284,563
84,0,0,25,0,-25
85,0,0,99,0,-99
86,0,0,25,0,-25
87,1,0,23,0,-23
88,1,0,8,0,-8
89,1,0,3,0,-3
90,1,0,28,0,-28
91,1,0,7,0,-7
92,1,0,11,0,-11
93,1,0,35,0,-35
94,1,1,45,2237,2192
95,1,0,0,0,0
96,0,0,34,0,-34
97,0,0,19,0,-19
98,0,0,39,0,-39
99,0,0,74,0,-74
100,1,1,1902,1688,-214
101,1,0,19,0,-19
102,1,1,1105,1285,180
103,0,0,22,0,-22
104,0,0,83,0,-83
105,1,1,423,1348,925
106,1,0,1,0,-1
107,1,1,46,1266,1220
108,1,0,19,0,-19
109,1,1,281,1205,924
110,0,0,12,0,-12
111,0,0,99,0,-99
112,1,0,74,0,-74
113,0,0,1,0,-1
114,0,0,12,0,-12
115,1,0,159,0,-159
116,1,1,64,1770,1706
117,1,0,16,0,-16
118,1,0,65,0,-65
119,0,0,15,0,-15
120,0,0,172,0,-172
121,0,0,4,0,-4
122,1,0,48,0,-48
123,0,0,45,0,-45
124,1,1,463,1285,822
125,0,0,12,0,-12
126,1,1,58,1539,1481
127,1,0,140,0,-140
128,1,0,1,0,-1
129,1,1,313,1316,1003
130,1,0,14,0,-14
131,1,1,845,1378,533
132,1,1,165,1249,1084
133,0,0,84,0,-84
134,1,0,23,0,-23
135,1,1,202,1257,1055
136,0,0,0,0,0
137,1,1,143,1849,1706
138,1,1,547,1222,675
139,1,0,136,0,-136
140,0,0,5,0,-5
141,1,0,10,0,-10
142,1,1,74,1845,1771
143,0,0,59,0,-59
144,1,1,85,1218,1133
145,0,0,8,0,-8
146,0,0,144,0,-144
147,1,0,245,0,-245
148,0,0,5,0,-5
149,1,1,443,1363,920
150,1,0,23,0,-23
151,0,0,13,0,-13
152,0,0,39,0,-39
153,0,0,67,0,-67
154,0,0,44,0,-44
155,0,0,27,0,-27
156,0,0,95,0,-95
157,1,0,89,0,-89
158,0,0,94,0,-94
159,1,0,90,0,-90
160,0,0,62,0,-62
161,1,0,21,0,-21
162,0,0,18,0,-18
163,0,0,6,0,-6
164,1,0,73,0,-73
165,1,0,103,0,-103
166,1,1,589,1227,638
167,1,0,20,0,-20
168,0,0,22,0,-22
169,1,0,46,0,-46
170,0,0,147,0,-147
171,1,0,20,0,-20
172,0,0,184,0,-184
173,1,0,7,0,-7
174,1,0,0,0,0
175,1,1,111,1381,1270
176,1,0,83,0,-83
177,1,0,20,0,-20
178,0,0,8,0,-8
179,0,0,58,0,-58
180,1,0,60,0,-60
181,1,1,1169,2077,908
182,1,1,75,1477,1402
183,0,0,113,0,-113
184,1,1,494,1274,780
185,1,1,140,1507,1367
186,1,1,215,1320,1105
187,1,0,105,0,-105
188,1,0,46,0,-46
189,1,0,45,0,-45
190,1,1,430,1481,1051
191,1,1,134,1278,1144
192,1,0,39,0,-39
193,1,1,121,1342,1221
194,1,1,112,1243,1131
195,1,1,172,1523,1351
196,0,0,191,0,-191
197,1,0,77,0,-77
198,1,1,643,3017,2374
199,1,0,36,0,-36
200,1,0,26,0,-26
201,0,0,10,0,-10
202,1,0,52,0,-52
203,0,0,63,0,-63
204,0,0,9,0,-9
205,0,0,4,0,-4
206,0,0,38,0,-38
207,1,0,19,0,-19
208,0,0,43,0,-43
209,1,0,168,0,-168
210,1,0,2,0,-2
211,1,0,42,0,-42
212,0,0,49,0,-49
213,1,1,138,1767,1629
214,0,0,60,0,-60
215,1,1,1028,1579,551
216,1,1,242,1466,1224
217,1,1,367,1271,904
218,0,0,73,0,-73
219,0,0,99,0,-99
220,0,0,66,0,-66
221,0,0,1,0,-1
222,0,0,23,0,-23
223,0,0,1,0,-1
224,1,0,69,0,-69
225,0,0,38,0,-38
226,1,0,10,0,-10
227,1,0,40,0,-40
228,0,0,12,0,-12
229,1,0,68,0,-68
230,0,0,4,0,-4
231,0,0,53,0,-53
232,1,1,383,1773,1390
233,0,0,12,0,-12
234,0,0,78,0,-78
235,0,0,71,0,-71
236,1,1,892,1368,476
237,1,0,134,0,-134
238,1,0,55,0,-55
239,1,1,116,2180,2064
240,1,0,63,0,-63
241,0,0,41,0,-41
242,0,0,120,0,-120
243,0,0,3,0,-3
244,1,0,8,0,-8
245,1,0,58,0,-58
246,0,0,78,0,-78
247,1,1,547,2702,2155
248,1,1,712,1408,696
249,0,0,131,0,-131
250,1,1,658,1405,747
251,1,1,415,1700,1285
252,1,0,10,0,-10
253,0,0,19,0,-19
254,1,1,138,1722,1584
255,1,0,36,0,-36
256,0,0,100,0,-100
257,1,0,122,0,-122
258,1,1,175,1372,1197
259,0,0,64,0,-64
260,1,1,450,1779,1329
261,1,1,54,1435,1381
262,0,0,138,0,-138
263,1,0,6,0,-6
264,1,1,503,1777,1274
265,1,1,718,1548,830
266,1,1,1618,1723,105
267,1,1,1396,1512,116
268,0,0,5,0,-5
269,0,0,12,0,-12
270,0,0,21,0,-21
271,1,1,655,2108,1453
272,1,0,17,0,-17
273,0,0,64,0,-64
274,1,0,9,0,-9
275,0,0,4,0,-4
276,1,1,123,1308,1185
277,1,0,13,0,-13
278,0,0,0,0,0
279,1,0,103,0,-103
280,1,0,66,0,-66
281,1,1,110,1309,1199
282,1,1,2019,1845,-174
283,0,0,46,0,-46
284,0,0,23,0,-23
285,0,0,8,0,-8
286,0,0,83,0,-83
287,1,0,64,0,-64
288,0,0,33,0,-33
289,0,0,1,0,-1
290,1,0,30,0,-30
291,0,0,16,0,-16
292,1,1,671,1407,736
293,0,0,48,0,-48
294,1,0,2,0,-2
295,1,1,779,1410,631
296,1,0,206,0,-206
297,0,0,24,0,-24
298,0,0,77,0,-77
